2021-04-03T00:39:40.025743200  		Info		getData		User 7 have gotten
2021-04-03T00:39:40.064721800  		Info		getData		Connected to database
2021-04-03T00:39:40.067719400  		Info		getData		User 9 have gotten
2021-04-03T00:39:40.111695500  		Info		getData		Connected to database
2021-04-03T00:39:40.112693200  		Info		getData		User 7 have gotten
2021-04-03T00:39:40.157669  		Info		getData		Connected to database
2021-04-03T00:39:40.159669200  		Info		getData		User 7 have gotten
2021-04-03T00:39:40.302585200  		Info		getData		Connected to database
2021-04-03T00:39:40.304586500  		Info		getData		User 9 have gotten
2021-04-03T00:39:40.342562400  		Info		getData		Connected to database
2021-04-03T00:39:40.345562900  		Info		getData		User 9 have gotten
2021-04-03T00:39:40.385536900  		Info		getData		Connected to database
2021-04-03T00:39:40.387536  		Info		getData		User 7 have gotten
2021-04-03T00:39:40.435508600  		Info		getData		Connected to database
2021-04-03T00:39:40.437507200  		Info		getData		User 9 have gotten
2021-04-03T00:39:40.484482  		Info		getData		Connected to database
2021-04-03T00:39:40.485480300  		Info		getData		User 7 have gotten
2021-04-03T00:39:40.527458500  		Info		getData		Connected to database
2021-04-03T00:39:40.530455400  		Info		getData		User 7 have gotten
2021-04-03T00:39:40.569432700  		Info		getData		Connected to database
2021-04-03T00:39:40.571430500  		Info		getData		User 9 have gotten
2021-04-03T00:39:40.606411600  		Info		getData		Connected to database
2021-04-03T00:39:40.608409200  		Info		getData		User 7 have gotten
2021-04-03T00:39:40.648387300  		Info		getData		Connected to database
2021-04-03T00:39:40.651385700  		Info		getData		User 9 have gotten
2021-04-03T00:39:40.690363100  		Info		getData		Connected to database
2021-04-03T00:39:40.692364100  		Info		getData		User 9 have gotten
2021-04-03T00:39:40.736337300  		Info		getData		Connected to database
2021-04-03T00:39:40.738335800  		Info		getData		User 7 have gotten
2021-04-03T00:39:40.782310500  		Info		getData		Connected to database
2021-04-03T00:39:40.784310  		Info		getData		User 9 have gotten
2021-04-03T00:39:40.918232800  		Info		getData		Connected to database
2021-04-03T00:39:40.920231600  		Info		getData		User 7 have gotten
2021-04-03T00:39:40.958209700  		Info		getData		Connected to database
2021-04-03T00:39:40.960211500  		Info		getData		User 9 have gotten
2021-04-03T00:39:40.999186  		Info		getData		Connected to database
2021-04-03T00:39:41.000185200  		Info		getData		User 7 have gotten
2021-04-03T00:39:41.037164700  		Info		getData		Connected to database
2021-04-03T00:39:41.038166400  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.080139400  		Info		getData		Connected to database
2021-04-03T00:39:41.082160200  		Info		getData		User 7 have gotten
2021-04-03T00:39:41.226056  		Info		getData		Connected to database
2021-04-03T00:39:41.228055600  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.267035200  		Info		getData		Connected to database
2021-04-03T00:39:41.269032100  		Info		getData		User 7 have gotten
2021-04-03T00:39:41.310008  		Info		getData		Connected to database
2021-04-03T00:39:41.312007400  		Info		getData		User 7 have gotten
2021-04-03T00:39:41.356981300  		Info		getData		Connected to database
2021-04-03T00:39:41.357983200  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.398957600  		Info		getData		Connected to database
2021-04-03T00:39:41.401956200  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.437934300  		Info		getData		Connected to database
2021-04-03T00:39:41.439938  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.475913600  		Info		getData		Connected to database
2021-04-03T00:39:41.476915500  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.519887800  		Info		getData		Connected to database
2021-04-03T00:39:41.521886600  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.558865800  		Info		getData		Connected to database
2021-04-03T00:39:41.560864700  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.605839200  		Info		getData		Connected to database
2021-04-03T00:39:41.607837100  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.644817400  		Info		getData		Connected to database
2021-04-03T00:39:41.646815600  		Info		getData		User 9 have gotten
